table1,table2,table3
클로버,클로버,행운목
클로버,하얀 실,네잎클로버 목걸이
클로버,달걀,행운석
클로버,모래 시계,그린포션
클로버,금괴,금화
클로버,깃털,깃털 모자
클로버,딸기,열매 화분
클로버,막대기,대파
하얀 실,하얀 실,옷감
하얀 실,달걀,비밀 주머니
하얀 실,모래 시계,선물 상자
하얀 실,금괴,훈장
하얀 실,깃털,셔틀콕
하얀 실,딸기,사탕
하얀 실,막대기,낚시대
달걀,달걀,써니사이드업
달걀,모래 시계,치킨 팝
달걀,금괴,황금알
달걀,깃털,고글
달걀,딸기,딸기 쇼트 케이크
달걀,막대기,새총
모래 시계,모래 시계,위스키
모래 시계,금괴,샤프란
모래 시계,깃털,낡은 편지
모래 시계,딸기,파랗게 질린 딸기
모래 시계,막대기,장인의 리코더
금괴,금괴,골드몬드
금괴,깃털,금붕어
금괴,딸기,골드푸딩
금괴,막대기,금망치
깃털,깃털,날개
깃털,딸기,초경량포도
깃털,막대기,깃털 화살
딸기,딸기,과일 타르트
딸기,막대기,막대사탕
막대기,막대기,나무 열쇠
깃털 모자,평범한 투구,용 투구
깃털 화살,망가진 총,석궁
장인의 리코더,도시락 상자,뮤직박스
파랗게 질린 딸기,무딘 검,매직스트로베리 소드
옷감,오싹한 인형,유령망토
셔틀콕,레인보우 물약,무지개 부채
잠겨있는 상자,나무 열쇠,얇고 가벼운 금붙이
얇고 가벼운 금붙이,빨간 리본,피피의 방울
